Report Date:,"17:52:51, 07/14/2020",,,,,
,,,,,,
Sample:,1,,,,,
File name:,,,,,,
Run Date:,"17:50:34, 07/14/2020",,,,,
Operator:,labuser,,,,,
Comment:,,,,,,
,,,,,,
Instrument,,,,,,
Model:,U-1900 Spectrophotometer,,,,,
Serial Number:,,,,,,
ROM Version:,3J05300 01,,,,,
,,,,,,
Instrument Parameters,,,,,,
Measurement Type:,Wavelength Scan,,,,,
Data Mode:,Abs,,,,,
Start Wavelength:,750.0 nm,,,,,
End Wavelength:,250.0 nm,,,,,
Scan Speed:,400 nm/min,,,,,
Sampling Interval:,0.5 nm,,,,,
Delay:,0 s,,,,,
Cycle Time:,0.0 min,,,,,
Replicates:,1,,,,,
Auto Zero before each run:,Off,,,,,
Slit Width:,4.00 nm,,,,,
Lamp Change Mode:,Auto,,,,,
Lamp Change Wavelength:,340.0 nm,,,,,
Baseline Correction:,User,,,,,
Response:,Medium,,,,,
D2 Lamp:,On,,,,,
WI Lamp:,On,,,,,
Path Correct:,On,,,,,
Path Length:,10.0 mm,,,,,
,,,,,,
Peak Detection,,,,,,
Integration Method:,Rectangular,,,,,
Sensitivity:,1,,,,,
Threshold:,0.01,,,,,
,,,,,,
Peaks,,,,,,
Peak #,Start (nm),Apex (nm),End (nm),Height (Abs),Valley (nm),Valley (Abs)
1,750,258.5,250,0.454,250,0.409
,,,,,,
Data Points,,,,,,
nm,Abs,,,,,
750,-0.005,,,,,
749.5,-0.005,,,,,
749,-0.005,,,,,
748.5,-0.005,,,,,
748,-0.005,,,,,
747.5,-0.005,,,,,
747,-0.005,,,,,
746.5,-0.005,,,,,
746,-0.005,,,,,
745.5,-0.005,,,,,
745,-0.005,,,,,
744.5,-0.005,,,,,
744,-0.005,,,,,
743.5,-0.005,,,,,
743,-0.005,,,,,
742.5,-0.005,,,,,
742,-0.005,,,,,
741.5,-0.005,,,,,
741,-0.005,,,,,
740.5,-0.005,,,,,
740,-0.005,,,,,
739.5,-0.005,,,,,
739,-0.005,,,,,
738.5,-0.005,,,,,
738,-0.005,,,,,
737.5,-0.005,,,,,
737,-0.005,,,,,
736.5,-0.005,,,,,
736,-0.005,,,,,
735.5,-0.005,,,,,
735,-0.005,,,,,
734.5,-0.005,,,,,
734,-0.005,,,,,
733.5,-0.005,,,,,
733,-0.005,,,,,
732.5,-0.005,,,,,
732,-0.005,,,,,
731.5,-0.005,,,,,
731,-0.005,,,,,
730.5,-0.005,,,,,
730,-0.005,,,,,
729.5,-0.005,,,,,
729,-0.005,,,,,
728.5,-0.005,,,,,
728,-0.005,,,,,
727.5,-0.005,,,,,
727,-0.005,,,,,
726.5,-0.005,,,,,
726,-0.005,,,,,
725.5,-0.005,,,,,
725,-0.005,,,,,
724.5,-0.005,,,,,
724,-0.005,,,,,
723.5,-0.005,,,,,
723,-0.005,,,,,
722.5,-0.005,,,,,
722,-0.005,,,,,
721.5,-0.005,,,,,
721,-0.005,,,,,
720.5,-0.005,,,,,
720,-0.005,,,,,
719.5,-0.005,,,,,
719,-0.006,,,,,
718.5,-0.005,,,,,
718,-0.005,,,,,
717.5,-0.005,,,,,
717,-0.005,,,,,
716.5,-0.005,,,,,
716,-0.005,,,,,
715.5,-0.005,,,,,
715,-0.005,,,,,
714.5,-0.006,,,,,
714,-0.006,,,,,
713.5,-0.006,,,,,
713,-0.006,,,,,
712.5,-0.006,,,,,
712,-0.005,,,,,
711.5,-0.005,,,,,
711,-0.005,,,,,
710.5,-0.006,,,,,
710,-0.006,,,,,
709.5,-0.006,,,,,
709,-0.005,,,,,
708.5,-0.005,,,,,
708,-0.005,,,,,
707.5,-0.006,,,,,
707,-0.006,,,,,
706.5,-0.006,,,,,
706,-0.005,,,,,
705.5,-0.005,,,,,
705,-0.006,,,,,
704.5,-0.006,,,,,
704,-0.006,,,,,
703.5,-0.006,,,,,
703,-0.006,,,,,
702.5,-0.006,,,,,
702,-0.006,,,,,
701.5,-0.006,,,,,
701,-0.006,,,,,
700.5,-0.005,,,,,
700,-0.006,,,,,
699.5,-0.006,,,,,
699,-0.006,,,,,
698.5,-0.006,,,,,
698,-0.006,,,,,
697.5,-0.006,,,,,
697,-0.006,,,,,
696.5,-0.006,,,,,
696,-0.006,,,,,
695.5,-0.006,,,,,
695,-0.006,,,,,
694.5,-0.006,,,,,
694,-0.006,,,,,
